"MUNIC_RES","ANO","POPULACAO"
"2111409","2021",18600
"2111508","2021",41750
"2111532","2021",12779
"2111573","2021",4700
"2111607","2021",19090
"2111631","2021",5028
"2111672","2021",6856
"2111706","2021",22452
"2111722","2021",14274
"2111748","2021",11285
"2111763","2021",13981
"2111789","2021",10343
"2111805","2021",18237
"2111904","2021",10631
"2111953","2021",5692
"2112001","2021",8642
"2112100","2021",29241
"2112209","2021",171317
"2112233","2021",22223
"2112274","2021",5868
"2112308","2021",42242
"2112407","2021",35811
"2112456","2021",26112
"2112506","2021",59927
"2112605","2021",33791
"2112704","2021",57813
"2112803","2021",52852
"2112852","2021",13800
"2112902","2021",32956
"2113009","2021",31520
"2114007","2021",52190
"2200053","2021",7119
"2200103","2021",5123
"2200202","2021",17525
"2200251","2021",7678
"2200277","2021",4921
"2200301","2021",14371
"2200400","2021",40681
"2200459","2021",5469
"2200509","2021",17609
"2200608","2021",6779
"2200707","2021",9994
"2200806","2021",3175
"2200905","2021",5819
"2200954","2021",2551
"2201002","2021",4713
"2201051","2021",7879
"2201101","2021",11361
"2201150","2021",11751
"2201176","2021",3953
"2201200","2021",47298
"2201309","2021",3356
"2201408","2021",7022
"2201507","2021",26951
"2201556","2021",4044
"2201572","2021",3607
"2201606","2021",10479
"2201705","2021",5512
"2201739","2021",6214
"2201770","2021",6848
"2201804","2021",4509
"2201903","2021",25584
"2201919","2021",5670
"2201929","2021",5700
"2201945","2021",6443
"2201960","2021",8364
"2201988","2021",3824
"2202000","2021",19832
"2202026","2021",8282
"2202059","2021",10671
"2202075","2021",3586
"2202083","2021",7704
"2202091","2021",5786
"2202109","2021",5628
"2202117","2021",5093
"2202133","2021",5987
"2202174","2021",7342
"2202208","2021",46950
"2202251","2021",3938
"2202307","2021",21326
"2202406","2021",11471
"2202455","2021",4127
"2202505","2021",11009
"2202539","2021",5910
"2202554","2021",5102
"2202604","2021",19716
"2202653","2021",5477
"2202703","2021",27901
"2202711","2021",4908
"2202729","2021",6180
"2202737","2021",4044
"2202752","2021",6545
"2202778","2021",7665
"2202802","2021",4811
"2202851","2021",4688
"2202901","2021",26771
"2203008","2021",8350
"2203107","2021",10464
"2203206","2021",11461
"2203230","2021",4982
"2203255","2021",4475
"2203271","2021",5390
"2203305","2021",13862
"2203354","2021",7046
"2203404","2021",6940
"2203420","2021",4352
"2203453","2021",9574
"2203503","2021",14550
"2203602","2021",4943
"2203701","2021",39953
"2203750","2021",5330
"2203800","2021",4461
"2203859","2021",2561
"2203909","2021",60111
"2204006","2021",5345
"2204105","2021",4300
"2204154","2021",3216
"2204204","2021",9423
"2204303","2021",11690
"2204352","2021",5477
"2204402","2021",10698
"2204501","2021",10496
"2204550","2021",4573
"2204600","2021",3880
"2204659","2021",9487
"2204709","2021",15330
"2204808","2021",9863
"2204907","2021",8582
"2205003","2021",11571
"2205102","2021",11037
"2205151","2021",5718
"2205201","2021",19233
"2205250","2021",4522
"2205276","2021",4885
"2205300","2021",4443
"2205359","2021",3003
"2205409","2021",14396
"2205458","2021",5488
"2205508","2021",39457
"2205516","2021",5491
"2205524","2021",5653
"2205532","2021",4790
"2205540","2021",2870
"2205557","2021",8610
"2205565","2021",4658
"2205573","2021",6795
"2205581","2021",4086
"2205599","2021",5219
"2205607","2021",5272
"2205706","2021",30558
"2205805","2021",25521
"2205854","2021",8372
"2205904","2021",5352
"2205953","2021",8590
"2206001","2021",4546
"2206050","2021",6456
"2206100","2021",10979
"2206209","2021",33901
"2206308","2021",1239
"2206357","2021",6603
"2206407","2021",10563
"2206506","2021",7785
"2206605","2021",10618
"2206654","2021",4527
"2206670","2021",6825
"2206696","2021",9258
"2206704","2021",7307
"2206720","2021",8632
"2206753","2021",4911
"2206803","2021",8751
"2206902","2021",6548
"2206951","2021",3014
"2207009","2021",37138
"2207108","2021",2477
"2207207","2021",6879
"2207306","2021",4124
"2207355","2021",3416
"2207405","2021",5029
